hora;potencia
0:30:00;58190
1:00:00;55730
1:30:00;55210
2:00:00;53200
0:00:00;58580
0:30:00;57580
1:00:00;55040
1:30:00;56130
2:00:00;53890
0:00:00;57880
0:30:00;57610
1:00:00;55790
1:30:00;55950
2:00:00;54610
0:00:00;60550
0:30:00;59710
1:00:00;57230
1:30:00;57390
2:00:00;55670
0:00:00;60440
0:30:00;60370
1:00:00;57650
1:30:00;57250
2:00:00;56470
0:00:00;60490
0:30:00;58800
1:00:00;57000
1:30:00;57950
2:00:00;54980
0:00:00;57660
0:30:00;58140
1:00:00;55240
1:30:00;55350
2:00:00;53800
0:00:00;59020
0:30:00;57980
1:00:00;54720
1:30:00;55770
2:00:00;53960
0:00:00;57670
0:30:00;58290
1:00:00;55520
1:30:00;57220
2:00:00;54950
0:00:00;58610
0:30:00;59160
1:00:00;57510
1:30:00;57600
2:00:00;55800
0:00:00;64840
0:30:00;63680
1:00:00;61790
1:30:00;62150
2:00:00;60530
0:00:00;67350
0:30:00;66340
1:00:00;63560
1:30:00;64160
2:00:00;62040
0:00:00;65910
0:30:00;65520
1:00:00;63490
1:30:00;64400
2:00:00;61420
0:00:00;64420
0:30:00;64430
1:00:00;62340
1:30:00;62750
2:00:00;61390
0:00:00;63490
0:30:00;63630
1:00:00;59530
1:30:00;60150
2:00:00;58850
0:00:00;58300
0:30:00;57750
1:00:00;55920
1:30:00;55990
2:00:00;54220
0:00:00;53630
0:30:00;53690
1:00:00;52150
1:30:00;52940
2:00:00;51100
0:00:00;58680
0:30:00;57840
1:00:00;55080
1:30:00;55020
2:00:00;53290
0:00:00;57750
0:30:00;56780
1:00:00;54480
1:30:00;55150
2:00:00;53440
0:00:00;56770
0:30:00;56120
1:00:00;53750
1:30:00;53790
2:00:00;51450
0:00:00;52370
0:30:00;51820
1:00:00;49570
1:30:00;50360
2:00:00;48260
0:00:00;51660
0:30:00;50700
1:00:00;48110
1:30:00;48750
2:00:00;46730
0:00:00;50140
0:30:00;47640
1:00:00;46670
1:30:00;46300
2:00:00;43880
0:00:00;48640
0:30:00;47680
1:00:00;45380
1:30:00;46030
2:00:00;44090
0:00:00;53320
0:30:00;52980
1:00:00;49440
1:30:00;49880
2:00:00;48910
0:00:00;53630
0:30:00;53080
1:00:00;51800
1:30:00;51320
2:00:00;48470
0:00:00;56470
0:30:00;55610
1:00:00;51120
1:30:00;51340
2:00:00;50060
0:00:00;56080
0:30:00;57430
1:00:00;51220
1:30:00;52060
2:00:00;50200
0:00:00;55920
0:30:00;53810
1:00:00;50760
1:30:00;50750
2:00:00;48910
0:00:00;53430
0:30:00;52310
1:00:00;50250
1:30:00;50530
2:00:00;47690
0:00:00;52440
0:30:00;52170
1:00:00;49120
1:30:00;47870
2:00:00;46410
0:00:00;52780
0:30:00;52030
1:00:00;49620
1:30:00;50660
2:00:00;48510
0:00:00;54430
0:30:00;53390
1:00:00;50300
1:30:00;50920
2:00:00;48720
0:00:00;55930
0:30:00;54660
1:00:00;52020
1:30:00;52000
2:00:00;50290
0:00:00;55400
0:30:00;54500
1:00:00;51820
1:30:00;52290
2:00:00;50470
0:00:00;55460
0:30:00;53360
1:00:00;50530
1:30:00;51160
2:00:00;49050
0:00:00;51310
0:30:00;50000
1:00:00;47110
1:30:00;47390
2:00:00;45560
0:00:00;51850
0:30:00;50760
1:00:00;48340
1:30:00;48390
2:00:00;47520
0:00:00;55870
0:30:00;55390
1:00:00;51990
1:30:00;52350
2:00:00;50710
0:00:00;57060
0:30:00;55750
1:00:00;52610
1:30:00;52990
2:00:00;51130
0:00:00;56130
0:30:00;54310
1:00:00;52100
1:30:00;52770
2:00:00;49750
0:00:00;53810
0:30:00;52500
1:00:00;50430
1:30:00;50460
2:00:00;48650
0:00:00;54190
0:30:00;52680
1:00:00;50030
1:30:00;49170
2:00:00;46840
0:00:00;49640
0:30:00;48910
1:00:00;46230
1:30:00;46150
2:00:00;43450
0:00:00;49190
0:30:00;49330
1:00:00;45900
1:30:00;46420
2:00:00;44750
0:00:00;56920
0:30:00;60320
1:00:00;54050
1:30:00;52970
2:00:00;51630
0:00:00;56040
0:30:00;55050
1:00:00;52660
1:30:00;52180
2:00:00;49910
0:00:00;57350
0:30:00;55600
1:00:00;53660
1:30:00;55010
2:00:00;52490
0:00:00;59810
0:30:00;57460
1:00:00;54820
1:30:00;53990
2:00:00;53320
0:00:00;56680
0:30:00;57160
1:00:00;54800
1:30:00;53940
2:00:00;51800
0:00:00;53860
0:30:00;53380
1:00:00;50400
1:30:00;51040
2:00:00;48320
0:00:00;51710
