FechaHora;Total
2022-01-20 11:00:00;3864.09
2022-01-20 12:00:00;3945.26
2022-01-20 13:00:00;3983.73
2022-01-20 14:00:00;3952
2022-01-20 15:00:00;3925.73
2022-01-20 16:00:00;3892.79
2022-01-20 17:00:00;3748.97
2022-01-20 18:00:00;3628.2
2022-01-20 19:00:00;4103.59
2022-01-20 20:00:00;4103.18
2022-01-20 21:00:00;3968.77
2022-01-20 22:00:00;3752.85
2022-01-20 23:00:00;3516.76
2022-01-21 00:00:00;3306.17
2022-01-21 01:00:00;3077.51
2022-01-21 02:00:00;2986.47
2022-01-21 03:00:00;2896.67
2022-01-21 04:00:00;2875.07
2022-01-21 05:00:00;2892.56
2022-01-21 06:00:00;2975.96
2022-01-21 07:00:00;2907.17
2022-01-21 08:00:00;3244.72
2022-01-21 09:00:00;3559.28
2022-01-21 10:00:00;3760.57
2022-01-21 11:00:00;3896
2022-01-21 12:00:00;3971.42
2022-01-21 13:00:00;3953.51
2022-01-21 14:00:00;3951.13
2022-01-21 15:00:00;3934.59
2022-01-21 16:00:00;3849.24
2022-01-21 17:00:00;3727.67
2022-01-21 18:00:00;3626.09
2022-01-21 19:00:00;4113.23
2022-01-21 20:00:00;4089.47
2022-01-21 21:00:00;3961.36
2022-01-21 22:00:00;3754.69
2022-01-21 23:00:00;3578.23
2022-01-22 00:00:00;3391.34
2022-01-22 01:00:00;3148.19
2022-01-22 02:00:00;3052.07
2022-01-22 03:00:00;2963.67
2022-01-22 04:00:00;2851.16
2022-01-22 05:00:00;2882.56
2022-01-22 06:00:00;2903.99
2022-01-22 07:00:00;2635.52
2022-01-22 08:00:00;2881.62
2022-01-22 09:00:00;3164.95
2022-01-22 10:00:00;3331.91
2022-01-22 11:00:00;3439.32
2022-01-22 12:00:00;3553.68
2022-01-22 13:00:00;3566.46
2022-01-22 14:00:00;3589.28
2022-01-22 15:00:00;3532.21
2022-01-22 16:00:00;3439.69
2022-01-22 17:00:00;3377.54
2022-01-22 18:00:00;3298.35
2022-01-22 19:00:00;3881.66
2022-01-22 20:00:00;3854.63
2022-01-22 21:00:00;3686.58
2022-01-22 22:00:00;3562.46
2022-01-22 23:00:00;3406.36
2022-01-23 00:00:00;3132.5
2022-01-23 01:00:00;3042.37
2022-01-23 02:00:00;2933.61
2022-01-23 03:00:00;2807.76
2022-01-23 04:00:00;2821.84
2022-01-23 05:00:00;2767.42
2022-01-23 06:00:00;2729.51
2022-01-23 07:00:00;2444.02
2022-01-23 08:00:00;2616.34
2022-01-23 09:00:00;2790.61
2022-01-23 10:00:00;2979.01
2022-01-23 11:00:00;3117.6
2022-01-23 12:00:00;3222.19
2022-01-23 13:00:00;3240.47
2022-01-23 14:00:00;3225.86
2022-01-23 15:00:00;3219.31
2022-01-23 16:00:00;3206.93
2022-01-23 17:00:00;3079.05
2022-01-23 18:00:00;3134.7
2022-01-23 19:00:00;3681.96
2022-01-23 20:00:00;3742.26
2022-01-23 21:00:00;3647.14
2022-01-23 22:00:00;3483.85
2022-01-23 23:00:00;3279.78
2022-01-24 00:00:00;3012.35
2022-01-24 01:00:00;2824.08
2022-01-24 02:00:00;2711.24
2022-01-24 03:00:00;2648.24
2022-01-24 04:00:00;2639.53
2022-01-24 05:00:00;2632.75
2022-01-24 06:00:00;2765.19
2022-01-24 07:00:00;2667.3
2022-01-24 08:00:00;2977.7
2022-01-24 09:00:00;3287.97
2022-01-24 10:00:00;3421.76
2022-01-24 11:00:00;3579.09
2022-01-24 12:00:00;3690.67
2022-01-24 13:00:00;3677.8
2022-01-24 14:00:00;3761.91
2022-01-24 15:00:00;3734.82
2022-01-24 16:00:00;3649.97
2022-01-24 17:00:00;3533.97
2022-01-24 18:00:00;3549.46
2022-01-24 19:00:00;3956.02
2022-01-24 20:00:00;3934.6
2022-01-24 21:00:00;3797.25
2022-01-24 22:00:00;3591.47
2022-01-24 23:00:00;3446.28
2022-01-25 00:00:00;3213.56
2022-01-25 01:00:00;2981.83
2022-01-25 02:00:00;2940.2
2022-01-25 03:00:00;2846.82
2022-01-25 04:00:00;2812.89
2022-01-25 05:00:00;2844.03
2022-01-25 06:00:00;2841.66
2022-01-25 07:00:00;2772.45
2022-01-25 08:00:00;3059.01
2022-01-25 09:00:00;3300.9
2022-01-25 10:00:00;3475.9
2022-01-25 11:00:00;3554.12
2022-01-25 12:00:00;3661.64
2022-01-25 13:00:00;3606.61
2022-01-25 14:00:00;3567.06
2022-01-25 15:00:00;3590.32
2022-01-25 16:00:00;3554.06
2022-01-25 17:00:00;3496.5
2022-01-25 18:00:00;3484.73
2022-01-25 19:00:00;3890.84
2022-01-25 20:00:00;3854.46
2022-01-25 21:00:00;3766.28
2022-01-25 22:00:00;3540.15
2022-01-25 23:00:00;3341.21
2022-01-26 00:00:00;3111.27
2022-01-26 01:00:00;2978.04
2022-01-26 02:00:00;2893.89
2022-01-26 03:00:00;2837.45
2022-01-26 04:00:00;2768.62
2022-01-26 05:00:00;2842.66
2022-01-26 06:00:00;2933.98
2022-01-26 07:00:00;2807.43
2022-01-26 08:00:00;3090.61
2022-01-26 09:00:00;3370.07
2022-01-26 10:00:00;3508.61
2022-01-26 11:00:00;3605.29
2022-01-26 12:00:00;3677.3
2022-01-26 13:00:00;3705.83
2022-01-26 14:00:00;3775.29
2022-01-26 15:00:00;3823.08
2022-01-26 16:00:00;3777.76
